Unnamed: 0,Customer ID,x,y,Probability of Churn,Churn Class,Total value bought,Recency (R),Frequency(F),Monetary(M),Geography
2550,14896,4.360573,6.110934,0.39,Medium, 211 ,64.24190555,59.02415028,25.03703039,Spain
1123,13469,47.680298,-15.960192,0.546,Medium, 61 ,39.74010503,19.27280252,28.15301341,France
3278,15624,-20.481676,0.6005759,0.344,Medium, 875 ,83.65527435,85.26645147,52.0914914,Spain
3270,15616,-15.841141,-41.648273,0.089,Low, 354 ,35.91411721,16.43984558,19.1362297,Spain
2190,14536,-14.215775,47.088436,0.536,Medium, 967 ,60.00289624,40.87550966,53.25499111,Spain
5876,18222,10.884215,-16.890835,0.903,High, 147 ,17.64947677,69.51643606,59.55258414,United States
3445,15791,-25.13655,-10.102658,0.522,Medium, 425 ,43.64449964,25.12550945,21.48178284,United Kingdom
3430,15776,-27.30859,-46.878136,0.075,Low, 170 ,9.019335514,25.71312495,2.345970334,Spain
983,13329,-15.218496,23.72298,0.87,High, 23 ,98.79005233,47.69616589,78.0442064,France
5582,17928,-15.549825,4.8761706,0.55,Medium, 636 ,1.827331008,49.59577797,34.17173982,Spain
4684,17030,11.5499735,-3.23227,0.73,High, 937 ,13.70785954,29.6205469,75.34528562,United States
3211,15557,33.01234,22.925508,0.095,Low, 194 ,7.701818132,36.05792478,49.36781361,France
5735,18081,-15.66201,-11.742538,0.945,High, 225 ,66.40099728,29.52706542,43.62394702,France
4739,17085,34.993763,-22.750189,0.893,High, 947 ,46.56491239,82.35511372,69.9032235,France
1406,13752,-8.685752,-0.041524086,0.656,Medium, 986 ,15.79245235,88.56849202,91.39425309,Spain
2140,14486,-5.0085692,22.319878,0.772,High, 324 ,58.13487699,58.75665269,76.44232776,United States
2445,14791,-0.1392978,-40.76561,0.038,Low, 573 ,24.03177077,29.43365654,61.66624085,United Kingdom
3248,15594,47.041977,-19.465548,0.422,Medium, 941 ,57.52804448,94.76858779,44.80227044,United States
1945,14291,7.861425,-0.75177443,0.448,Medium, 751 ,93.85206833,52.7501345,71.77628155,United Kingdom
4230,16576,30.02672,5.574286,0.145,Low, 482 ,60.567405,80.71554222,46.58103382,Spain
